056724024|0.0 0.0 0.0 0.0 0.0 0.0 0.924402460765684 0.0 0.0 0.0
057109576|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.17983024161003464 0.002280892913655436 0.012527730613444038
05711915X|0.0 0.1269858010124301 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
05713347X|0.0 0.0 0.0 0.0 0.0 0.0 0.9267331837923893 0.0 0.0 0.0
057144451|0.0 0.0 0.0005445192117123859 0.0 0.008210056501979625 0.0 0.0027857611712657857 0.23287613649070427 0.0 0.019569631700172313
057147791|0.0 0.0 0.18104187882486322 0.0 1.0015750611565224 0.00011572739272087616 0.9357409232963997 0.12127486601566523 0.0006872149131819747 0.7335181243898589
057200820|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5873110275542973 0.0
057364876|0.0 0.0 0.01009295339748869 0.0024678019697143235 0.033388712860173954 0.0006782542320247244 0.03003103921384917 0.15179507555230645 0.012161873153796535 0.0
057674532|0.0 0.007767461120806849 0.0 0.0029517314194719237 0.0 0.02716970927306164 0.0 0.11831397814786267 0.6178874068309737 0.046759660970416096
057936352|0.0 0.015235113803417607 0.0 0.01231379932840442 0.0 0.0015577917618961618 0.0 0.0047466531192297485 0.0 0.0
057954649|0.0019044445692757968 0.04970716416190995 8.636715185169925e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0
